"","date","pred","modelo","real"
"1",2025-03-06,188.4635,"modelo0",172.35
"2",2025-03-07,187.308862044697,"modelo0",173.86
"3",2025-03-08,186.900018597174,"modelo0",NA
"4",2025-03-09,186.135475535762,"modelo0",NA
"5",2025-03-10,187.143888377119,"modelo0",165.87
"6",2025-03-11,188.26210205685,"modelo0",164.04
"7",2025-03-12,188.352553477934,"modelo0",167.11
"8",2025-03-13,187.689263134785,"modelo0",162.76
"9",2025-03-14,187.414504947484,"modelo0",165.49
"10",2025-03-15,186.69047851889,"modelo0",NA
"11",2025-03-16,186.742824554712,"modelo0",NA
"12",2025-03-17,186.050688544549,"modelo0",164.29
"13",2025-03-18,186.439287470608,"modelo0",160.67
"14",2025-03-19,186.547890602355,"modelo0",163.89
"15",2025-03-20,186.365710311049,"modelo0",162.8
"16",2025-03-21,187.078181333615,"modelo0",163.99
"17",2025-03-22,187.339978408232,"modelo0",NA
"18",2025-03-23,186.969714094342,"modelo0",NA
"19",2025-03-24,186.939207862079,"modelo0",167.68
"20",2025-03-25,187.73272033031,"modelo0",170.56
"21",2025-03-26,189.21523546753,"modelo0",165.06
"22",2025-03-27,189.771587161589,"modelo0",162.24
"23",2025-03-28,190.847797580358,"modelo0",154.33
"24",2025-03-29,190.682531650217,"modelo0",NA
"25",2025-03-30,188.472875282037,"modelo0",NA
"26",2025-03-31,187.103736870581,"modelo0",154.64
"27",2025-04-01,186.196792383688,"modelo0",157.07
"28",2025-04-02,185.623596713495,"modelo0",157.04
"29",2025-04-03,186.200562605264,"modelo0",150.72
"30",2025-04-04,185.812666532409,"modelo0",145.6
"31",2025-04-05,185.554501797625,"modelo0",NA
"32",2025-04-06,186.140891896179,"modelo0",NA
"33",2025-04-07,184.25921233472,"modelo0",146.75
"34",2025-04-08,184.089154246939,"modelo0",144.7
"35",2025-04-09,183.831589162703,"modelo0",158.71
"36",2025-04-10,183.613677692876,"modelo0",152.82
"37",2025-04-11,183.171999309744,"modelo0",157.14
"38",2025-04-12,182.692308826625,"modelo0",NA
"39",2025-04-13,182.805404010358,"modelo0",NA
"40",2025-04-14,181.996158630533,"modelo0",159.07
"41",2025-04-15,181.687416339173,"modelo0",156.31
"42",2025-04-16,181.691307143772,"modelo0",153.33
"43",2025-04-17,181.234146724475,"modelo0",151.16
"44",2025-04-18,181.153707344766,"modelo0",NA
"45",2025-04-19,181.215924388076,"modelo0",NA
"46",2025-04-20,181.246624193547,"modelo0",NA
"47",2025-04-21,181.363711332201,"modelo0",147.67
"48",2025-04-22,181.909662328501,"modelo0",151.47
"49",2025-04-23,180.333508230522,"modelo0",155.35
"50",2025-04-24,180.677696207852,"modelo0",NA
"51",2025-04-25,181.192508420789,"modelo0",NA
"52",2025-04-26,181.474032733754,"modelo0",NA
"53",2025-04-27,181.453377809567,"modelo0",NA
"54",2025-04-28,182.588991780429,"modelo0",NA
"55",2025-04-29,181.416642709669,"modelo0",NA
"56",2025-04-30,180.292854179789,"modelo0",NA
"57",2025-05-01,179.465494251274,"modelo0",NA
"58",2025-05-02,179.472724997061,"modelo0",NA
"59",2025-05-03,178.756030106559,"modelo0",NA
"60",2025-05-04,179.753853999879,"modelo0",NA
"61",2025-05-05,180.603498616191,"modelo0",NA
"62",2025-05-06,181.898171271785,"modelo0",NA
"63",2025-03-06,188.4635,"modelo1",172.35
"64",2025-03-07,188.483111926702,"modelo1",173.86
"65",2025-03-08,188.451784974549,"modelo1",NA
"66",2025-03-09,188.34672291405,"modelo1",NA
"67",2025-03-10,188.400420521527,"modelo1",165.87
"68",2025-03-11,188.305779927436,"modelo1",164.04
"69",2025-03-12,188.350029012671,"modelo1",167.11
"70",2025-03-13,188.493760480399,"modelo1",162.76
"71",2025-03-14,188.383813602303,"modelo1",165.49
"72",2025-03-15,188.272843866245,"modelo1",NA
"73",2025-03-16,188.358302156818,"modelo1",NA
"74",2025-03-17,188.248242570999,"modelo1",164.29
"75",2025-03-18,188.380622311265,"modelo1",160.67
"76",2025-03-19,188.421335907597,"modelo1",163.89
"77",2025-03-20,188.486514882329,"modelo1",162.8
"78",2025-03-21,188.71448381389,"modelo1",163.99
"79",2025-03-22,188.660057724864,"modelo1",NA
"80",2025-03-23,188.801835797053,"modelo1",NA
"81",2025-03-24,188.796164474307,"modelo1",167.68
"82",2025-03-25,188.784806371795,"modelo1",170.56
"83",2025-03-26,188.90302684091,"modelo1",165.06
"84",2025-03-27,188.963329982094,"modelo1",162.24
"85",2025-03-28,189.078573829706,"modelo1",154.33
"86",2025-03-29,189.083450595816,"modelo1",NA
"87",2025-03-30,189.175256094783,"modelo1",NA
"88",2025-03-31,189.139291745951,"modelo1",154.64
"89",2025-04-01,189.165413680067,"modelo1",157.07
"90",2025-04-02,189.302507495176,"modelo1",157.04
"91",2025-04-03,189.31490518051,"modelo1",150.72
"92",2025-04-04,189.266594898486,"modelo1",145.6
"93",2025-04-05,189.291219076959,"modelo1",NA
"94",2025-04-06,189.327708393972,"modelo1",NA
"95",2025-04-07,189.398310079279,"modelo1",146.75
"96",2025-04-08,189.300761292027,"modelo1",144.7
"97",2025-04-09,189.169128172815,"modelo1",158.71
"98",2025-04-10,189.125544950964,"modelo1",152.82
"99",2025-04-11,189.214078341101,"modelo1",157.14
"100",2025-04-12,189.109930403998,"modelo1",NA
"101",2025-04-13,189.181523275212,"modelo1",NA
"102",2025-04-14,189.186432413736,"modelo1",159.07
"103",2025-04-15,189.205465856694,"modelo1",156.31
"104",2025-04-16,189.323742759222,"modelo1",153.33
"105",2025-04-17,189.151201897822,"modelo1",151.16
"106",2025-04-18,189.211209205424,"modelo1",NA
"107",2025-04-19,189.098310149953,"modelo1",NA
"108",2025-04-20,189.087174877332,"modelo1",NA
"109",2025-04-21,188.973759371394,"modelo1",147.67
"110",2025-04-22,188.845687229844,"modelo1",151.47
"111",2025-04-23,188.906219736975,"modelo1",155.35
"112",2025-04-24,188.899131850325,"modelo1",NA
"113",2025-04-25,188.837713756882,"modelo1",NA
"114",2025-04-26,189.011851638469,"modelo1",NA
"115",2025-04-27,188.917997057722,"modelo1",NA
"116",2025-04-28,188.877447697901,"modelo1",NA
"117",2025-04-29,188.838349022989,"modelo1",NA
"118",2025-04-30,188.726977635896,"modelo1",NA
"119",2025-05-01,188.702091180185,"modelo1",NA
"120",2025-05-02,188.546546558164,"modelo1",NA
"121",2025-05-03,188.626723645449,"modelo1",NA
"122",2025-05-04,188.682849245016,"modelo1",NA
"123",2025-05-05,188.698534953396,"modelo1",NA
"124",2025-05-06,188.745166401424,"modelo1",NA
"125",2025-03-06,172.497645557082,"modelo2",172.35
"126",2025-03-07,171.964296370232,"modelo2",173.86
"127",2025-03-08,171.456859747832,"modelo2",NA
"128",2025-03-09,170.926633239078,"modelo2",NA
"129",2025-03-10,170.382161274128,"modelo2",165.87
"130",2025-03-11,169.856333265985,"modelo2",164.04
"131",2025-03-12,169.343672946071,"modelo2",167.11
"132",2025-03-13,168.822894583608,"modelo2",162.76
"133",2025-03-14,168.295704832124,"modelo2",165.49
"134",2025-03-15,167.796060931103,"modelo2",NA
"135",2025-03-16,167.26720017311,"modelo2",NA
"136",2025-03-17,166.760527075725,"modelo2",164.29
"137",2025-03-18,166.239921746818,"modelo2",160.67
"138",2025-03-19,165.739751426124,"modelo2",163.89
"139",2025-03-20,165.207198712351,"modelo2",162.8
"140",2025-03-21,164.7009276896,"modelo2",163.99
"141",2025-03-22,164.198402789139,"modelo2",NA
"142",2025-03-23,163.688156486799,"modelo2",NA
"143",2025-03-24,163.175343771276,"modelo2",167.68
"144",2025-03-25,162.688403803926,"modelo2",170.56
"145",2025-03-26,162.179938207017,"modelo2",165.06
"146",2025-03-27,161.681930217066,"modelo2",162.24
"147",2025-03-28,161.175425137186,"modelo2",154.33
"148",2025-03-29,160.677161733898,"modelo2",NA
"149",2025-03-30,160.187071337761,"modelo2",NA
"150",2025-03-31,159.695709713714,"modelo2",154.64
"151",2025-04-01,159.193823671467,"modelo2",157.07
"152",2025-04-02,158.703673989362,"modelo2",157.04
"153",2025-04-03,158.206494628531,"modelo2",150.72
"154",2025-04-04,157.719836007281,"modelo2",145.6
"155",2025-04-05,157.229603038997,"modelo2",NA
"156",2025-04-06,156.728431991052,"modelo2",NA
"157",2025-04-07,156.245324170369,"modelo2",146.75
"158",2025-04-08,155.7656132213,"modelo2",144.7
"159",2025-04-09,155.267812816578,"modelo2",158.71
"160",2025-04-10,154.810919037975,"modelo2",152.82
"161",2025-04-11,154.328937188612,"modelo2",157.14
"162",2025-04-12,153.842145256926,"modelo2",NA
"163",2025-04-13,153.357107776797,"modelo2",NA
"164",2025-04-14,152.877899567086,"modelo2",159.07
"165",2025-04-15,152.389400203793,"modelo2",156.31
"166",2025-04-16,151.91019839294,"modelo2",153.33
"167",2025-04-17,151.440192589304,"modelo2",151.16
"168",2025-04-18,150.963833495742,"modelo2",NA
"169",2025-04-19,150.518690168516,"modelo2",NA
"170",2025-04-20,150.050082243001,"modelo2",NA
"171",2025-04-21,149.576426051933,"modelo2",147.67
"172",2025-04-22,149.104531344416,"modelo2",151.47
"173",2025-04-23,148.64441122998,"modelo2",155.35
"174",2025-04-24,148.182172804161,"modelo2",NA
"175",2025-04-25,147.733416408969,"modelo2",NA
"176",2025-04-26,147.270591876058,"modelo2",NA
"177",2025-04-27,146.839558715602,"modelo2",NA
"178",2025-04-28,146.394014204297,"modelo2",NA
"179",2025-04-29,145.935982602089,"modelo2",NA
"180",2025-04-30,145.485824698745,"modelo2",NA
"181",2025-05-01,145.041118889847,"modelo2",NA
"182",2025-05-02,144.604298142329,"modelo2",NA
"183",2025-05-03,144.145781089298,"modelo2",NA
"184",2025-05-04,143.71362286458,"modelo2",NA
"185",2025-05-05,143.259526700945,"modelo2",NA
"186",2025-05-06,142.822624427949,"modelo2",NA
"187",2025-03-06,173.02,"modelo3",172.35
"188",2025-03-07,170.790076786551,"modelo3",173.86
"189",2025-03-08,169.632021577041,"modelo3",NA
"190",2025-03-09,167.849456345836,"modelo3",NA
"191",2025-03-10,168.613914319403,"modelo3",165.87
"192",2025-03-11,169.662960773845,"modelo3",164.04
"193",2025-03-12,169.099603290215,"modelo3",167.11
"194",2025-03-13,167.529910634481,"modelo3",162.76
"195",2025-03-14,166.842272618865,"modelo3",165.49
"196",2025-03-15,165.169509412509,"modelo3",NA
"197",2025-03-16,163.82511641111,"modelo3",NA
"198",2025-03-17,162.264030598028,"modelo3",164.29
"199",2025-03-18,163.011808538062,"modelo3",160.67
"200",2025-03-19,162.397981132753,"modelo3",163.89
"201",2025-03-20,161.762924974288,"modelo3",162.8
"202",2025-03-21,162.648304281652,"modelo3",163.99
"203",2025-03-22,162.496861292414,"modelo3",NA
"204",2025-03-23,161.672653560385,"modelo3",NA
"205",2025-03-24,160.856681328442,"modelo3",167.68
"206",2025-03-25,161.462591776713,"modelo3",170.56
"207",2025-03-26,162.383719473896,"modelo3",165.06
"208",2025-03-27,163.133073449661,"modelo3",162.24
"209",2025-03-28,164.128932542099,"modelo3",154.33
"210",2025-03-29,163.929076099604,"modelo3",NA
"211",2025-03-30,161.195670444637,"modelo3",NA
"212",2025-03-31,160.110188430091,"modelo3",154.64
"213",2025-04-01,158.928328174075,"modelo3",157.07
"214",2025-04-02,156.383110829659,"modelo3",157.04
"215",2025-04-03,157.070699349412,"modelo3",150.72
"216",2025-04-04,156.443909933164,"modelo3",145.6
"217",2025-04-05,156.268653916983,"modelo3",NA
"218",2025-04-06,157.287030186455,"modelo3",NA
"219",2025-04-07,153.513954437384,"modelo3",146.75
"220",2025-04-08,153.15999916878,"modelo3",144.7
"221",2025-04-09,152.815784683538,"modelo3",158.71
"222",2025-04-10,151.365789899929,"modelo3",152.82
"223",2025-04-11,150.147116337473,"modelo3",157.14
"224",2025-04-12,149.507686514369,"modelo3",NA
"225",2025-04-13,148.811480700283,"modelo3",NA
"226",2025-04-14,146.847214532469,"modelo3",159.07
"227",2025-04-15,146.02260619094,"modelo3",156.31
"228",2025-04-16,144.941824559972,"modelo3",153.33
"229",2025-04-17,143.436726418177,"modelo3",151.16
"230",2025-04-18,143.6226530777,"modelo3",NA
"231",2025-04-19,142.113882478524,"modelo3",NA
"232",2025-04-20,142.831577169587,"modelo3",NA
"233",2025-04-21,142.660480289383,"modelo3",147.67
"234",2025-04-22,143.567689454715,"modelo3",151.47
"235",2025-04-23,141.318765229182,"modelo3",155.35
"236",2025-04-24,141.285904250063,"modelo3",NA
"237",2025-04-25,141.09629326663,"modelo3",NA
"238",2025-04-26,140.560219856656,"modelo3",NA
"239",2025-04-27,140.019869212918,"modelo3",NA
"240",2025-04-28,141.988754156388,"modelo3",NA
"241",2025-04-29,141.078892703748,"modelo3",NA
"242",2025-04-30,139.280108500199,"modelo3",NA
"243",2025-05-01,137.349213306745,"modelo3",NA
"244",2025-05-02,137.516653111712,"modelo3",NA
"245",2025-05-03,136.314913881276,"modelo3",NA
"246",2025-05-04,137.674996741232,"modelo3",NA
"247",2025-05-05,137.52200936307,"modelo3",NA
"248",2025-05-06,138.907307347705,"modelo3",NA
